,city,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,total_cases,year_recorded,month_recorded,total satellite vegetation index of city,standing water feature 2,standing water feature 3,standing water feature 4,standing water feature 5,standing water feature 6
0,sj,18,0.1226,0.103725,0.19848329999999997,0.17761670000000002,12.42,297.57285714299996,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,4,1990,4,0.602425,19.2776,2347.7028571424,1414.3148937140102,0.1067378252168112,4.717527997711842
1,sj,19,0.1699,0.142175,0.1623571,0.15548570000000003,22.82,298.211428571,298.44285714299997,293.951428571,300.9,296.4,17.94,77.36857142859999,22.82,15.3728571429,2.37142857143,26.714285714299997,6.37142857143,31.7,22.2,5,1990,5,0.6299178000000001,11.300725332000003,1387.992171429084,874.3209750438316,0.05962113659022932,2.9056861915713914
2,sj,20,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.87857142900003,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.714285714299997,6.485714285709999,32.2,22.8,4,1990,5,0.5332596000000001,13.918075560000002,2141.57957142969,1142.017865628768,0.08685524126455907,3.8003922317097105
3,sj,21,0.1286333,0.2450667,0.22755709999999998,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.9,80.3371428571,15.36,16.6728571429,2.4285714285699997,27.471428571399997,6.77142857143,33.3,23.3,3,1990,5,0.8371428,11.63628492,1116.68628571369,934.8258839439584,0.04611811546118116,3.1016120900595836
4,sj,22,0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,6,1990,5,0.95694,11.674667999999999,981.6119999999999,939.3437872799999,0.04041073203047367,3.1114401698575684
5,sj,23,,0.17485,0.2543143,0.18174289999999999,9.58,299.63,299.76428571400004,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,2,1990,6,,,2116.3239428563857,,0.08759920634920636,
6,sj,24,0.1129,0.0928,0.2050714,0.2102714,3.48,299.207142857,299.221428571,295.86571428599996,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,4,1990,6,0.6210428,23.97225208,3165.2000000000003,1965.7246705600003,0.12811151676070362,6.524144276667774
7,sj,25,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,5,1990,6,0.4295,12.885,2501.271428571,1074.2960785712444,0.09980039920159679,3.573839250070673
8,sj,26,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.8857142857099998,28.3285714286,7.385714285710001,33.9,22.8,10,1990,6,0.49779639999999997,18.672342964,3104.649114286786,1545.4831523551504,0.1241641840450182,5.115799908491064
9,sj,27,,0.12155,0.16068329999999997,0.20256670000000002,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.514285714290001,33.9,24.4,6,1990,7,,,2308.39257142776,,0.09394641085014885,
10,sj,28,0.192875,0.08235,0.1919429,0.1529286,22.27,299.512857143,299.592857143,296.041428571,301.8,298.0,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,8,1990,7,0.6200965,27.11061898,3561.7434857124117,2208.6246693880666,0.14486414844267725,7.318173192140711
11,sj,29,0.2916,0.2118,0.3012,0.2806667,59.17,299.667142857,299.75,296.33428571400003,302.0,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,2,1990,7,1.0852667,44.38740803,3359.7012857148698,3646.171927333534,0.13543046357615893,12.073416977925609
12,sj,30,0.15056670000000003,0.1717,0.2269,0.2145571,16.48,299.55857142900004,299.635714286,295.96,301.8,297.1,42.53,80.7428571429,16.48,17.3414285714,2.0714285714300003,28.1142857143,6.3571428571399995,31.7,22.8,6,1990,7,0.7637238,32.481173214,3433.993714287537,2622.622728651792,0.14092113982770046,8.689936145300834
13,sj,31,,0.24715,0.3797,0.3813571,32.66,299.862857143,299.95,296.172857143,303.0,298.3,34.6,80.58428571430001,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,17,1990,7,,,2788.2162857147805,,0.11419141914191419,
14,sj,32,,0.06433333,0.16444289999999998,0.1388571,28.8,300.391428571,300.478571429,296.532857143,302.5,298.8,20.0,79.65,28.8,17.95,2.32857142857,28.2,7.55714285714,33.3,23.3,23,1990,8,,,1593.0,,0.06611570247933884,
15,sj,33,,0.12803330000000002,0.2069571,0.16824289999999997,90.75,299.958571429,299.957142857,297.035714286,302.6,298.5,101.9,84.1785714286,90.75,18.5157142857,1.8571428571400002,28.0428571429,6.68571428571,32.8,22.8,13,1990,8,,,8577.79642857434,,0.33674818241903504,
16,sj,34,0.1902333,0.1688,0.1676571,0.1722857,32.4,300.332857143,300.414285714,296.728571429,302.5,298.1,25.9,80.9471428571,32.4,18.1742857143,2.48571428571,28.342857142899998,7.014285714289999,33.3,23.3,21,1990,8,0.6989761000000001,18.10348099,2096.53099999889,1465.4250619083243,0.0856198347107438,4.844380369944874
17,sj,35,0.2529,0.33075,0.26417140000000006,0.2843143,40.94,300.11857142900004,300.221428571,297.017142857,302.2,298.7,39.8,83.3485714286,40.94,18.5157142857,1.9,28.657142857100002,6.52857142857,32.2,24.4,28,1990,8,1.1321357,45.05900086,3317.2731428582797,3755.603351681059,0.1317008603573792,12.42754252707167
18,sj,36,0.2354,0.200025,0.2838167,0.2304429,28.86,300.53,300.635714286,296.11714285700003,303.8,298.0,30.4,77.1728571429,28.86,17.56,3.47142857143,28.3285714286,7.614285714289999,32.8,23.3,24,1990,9,0.9496846,28.87041184,2346.05485714416,2228.0121685850086,0.10006583278472679,7.33381227315671
19,sj,37,0.1279667,0.4371,0.1234,0.14828329999999998,64.56,300.674285714,300.792857143,297.19285714299997,302.9,299.0,24.18,81.55142857140001,64.56,18.7771428571,2.9,28.6857142857,8.05714285714,33.9,24.4,20,1990,9,0.8367499999999999,20.232614999999996,1971.9135428564523,1649.9986569851362,0.07982832618025752,5.447337923357994
20,sj,38,0.19635,0.1824333,0.2548286,0.3056857,143.73,299.857142857,299.9,296.43142857099997,301.7,298.7,36.6,81.6371428571,143.73,17.8928571429,1.74285714286,28.2428571429,8.114285714289998,32.8,23.9,40,1990,9,0.9392976000000001,34.37829216,2987.9194285698604,2806.5455482490415,0.12131256214782898,9.302438012094933
21,sj,39,0.1161,0.2609,0.19944289999999998,0.24421669999999998,51.39,300.42714285700004,300.6,296.028571429,302.4,299.1,16.4,77.0485714286,51.39,17.4685714286,2.2571428571400003,28.342857142899998,7.72857142857,32.8,24.4,27,1990,9,0.8206595999999999,13.458817439999997,1263.5965714290398,1036.9826568703272,0.05423280423280423,3.4291754526135163
22,sj,40,0.22855,0.18975,0.2124857,0.20118570000000002,31.18,300.775714286,300.85,296.664285714,303.3,299.1,36.1,78.52,31.18,18.18,2.9,28.771428571399998,8.02857142857,33.3,23.9,42,1990,10,0.8319714,30.034167540000002,2834.572,2358.2828352408,0.11902406857896472,7.775413238512364
23,sj,41,0.17115,0.06755,0.1794667,0.15771670000000002,51.42,299.857142857,299.94285714299997,296.928571429,301.8,298.1,132.4,84.11,51.42,18.5128571429,2.5714285714300003,28.6285714286,7.314285714289999,33.3,24.4,33,1990,10,0.5758834,76.24696216000001,11136.164,6413.131987277601,0.43870112657389,21.249608970436054
